2018-01-14 14:34:59 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:35:00 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:35:06 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:35:06 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:41:15 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:41:15 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:45:24 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:45:24 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:45:33 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:45:33 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:45:54 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 14:45:54 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:47:02 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 14:47:02 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:47:56 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 14:47:56 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:49:02 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:49:02 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:49:17 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 14:49:17 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:49:25 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:49:25 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:49:41 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:49:41 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:51:29 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:51:29 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:52:38 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1014,height=738]
2018-01-14 14:52:38 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:52:39 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
2018-01-14 14:52:39 INFO  [main] client.View: java.awt.GridLayout[hgap=0,vgap=0,rows=8,cols=8]
2018-01-14 14:53:50 INFO  [main] client.GamewindowJFrame: java.awt.Dimension[width=1024,height=768]
